"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"21:18:14.5314002","Explorer.EXE","6308","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\User\Index\UserSid","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"21:18:14.5314118","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"21:18:14.5314198","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\User\Index\UserSid\S-1-5-21-4279415155-462254920-2085994121-1001","SUCCESS","Desired Access: Read"
"21:18:14.5314267","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:14.5314374","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:14.5314379","Explorer.EXE","6308","RegEnumKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\User\Index\UserSid\S-1-5-21-4279415155-462254920-2085994121-1001","SUCCESS","Index: 0, Name: 2"
"21:18:14.5314513","Explorer.EXE","6308","RegOpenKey","HKCU\Software\Classes\AppX43hnxtbyyps62jhe9sqpdzxn1790zetc","SUCCESS","Desired Access: Read"
"21:18:14.5314560","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\User\Index\UserSid\S-1-5-21-4279415155-462254920-2085994121-1001","SUCCESS",""
"21:18:14.5314695","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes\AppX43hnxtbyyps62jhe9sqpdzxn1790zetc","SUCCESS","Query: Name"
"21:18:14.5314726","Explorer.EXE","6308","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\PackageExternalLocation\Index\UserAndPackage","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"21:18:14.5314828","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes\AppX43hnxtbyyps62jhe9sqpdzxn1790zetc","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:14.5314854","Procmon64.exe","10216","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\9bdc8daf-8fff-11f1-af97-581cf8958d9a","NAME NOT FOUND","Length: 528"
"21:18:14.5314870","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\PackageExternalLocation\Index\UserAndPackage\2^11b4","NAME NOT FOUND","Desired Access: Read"
"21:18:14.5314926","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes\AppX43hnxtbyyps62jhe9sqpdzxn1790zetc","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:14.5315085","Explorer.EXE","6308","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\PackageExternalLocation\Index\UserAndPackage","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"21:18:14.5315148","Explorer.EXE","6308","RegOpenKey","HKCU\Software\Classes\AppX43hnxtbyyps62jhe9sqpdzxn1790zetc\CurVer","NAME NOT FOUND","Desired Access: Query Value"
"21:18:14.5315202","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\PackageExternalLocation\Index\UserAndPackage\0^11b4","NAME NOT FOUND","Desired Access: Read"
"21:18:14.5315361","Explorer.EXE","6308","RegOpenKey","HKCR\AppX43hnxtbyyps62jhe9sqpdzxn1790zetc\CurVer","NAME NOT FOUND","Desired Access: Query Value"
"21:18:14.5315381","Explorer.EXE","6308","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"21:18:14.5315495","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data\11b4","SUCCESS","Desired Access: Read"
"21:18:14.5315555","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes\AppX43hnxtbyyps62jhe9sqpdzxn1790zetc","SUCCESS","Query: Name"
"21:18:14.5315682","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes\AppX43hnxtbyyps62jhe9sqpdzxn1790zetc","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:14.5315687","Explorer.EXE","6308","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data\11b4\InstalledLocation","BUFFER OVERFLOW","Length: 144"
"21:18:14.5315789","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes\AppX43hnxtbyyps62jhe9sqpdzxn1790zetc","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:14.5315826","Procmon64.exe","10216","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\9e814aad-3204-11d2-9a82-006008a86939","SUCCESS","Type: REG_BINARY, Length: 184, Data: 01 00 04 80 14 00 00 00 24 00 00 00 00 00 00 00"
"21:18:14.5315867","Explorer.EXE","6308","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data\11b4\InstalledLocation","SUCCESS","Type: REG_SZ, Length: 160, Data: C:\Program Files\WindowsApps\Clipchamp.Clipchamp_4.4.10420.0_x64__yxz26nhyzhsrt"
"21:18:14.5315899","Explorer.EXE","6308","RegOpenKey","HKCU\Software\Classes\AppX43hnxtbyyps62jhe9sqpdzxn1790zetc","SUCCESS","Desired Access: Read"
"21:18:14.5316050","Explorer.EXE","6308","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data\11b4\MutableLink","SUCCESS","Type: REG_NONE, Length: 0"
"21:18:14.5316095","Explorer.EXE","6308","RegCloseKey","HKCU\Software\Classes\AppX43hnxtbyyps62jhe9sqpdzxn1790zetc","SUCCESS",""
"21:18:14.5316239","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes\AppX43hnxtbyyps62jhe9sqpdzxn1790zetc","SUCCESS","Query: Name"
"21:18:14.5316249","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data\11b4","SUCCESS",""
"21:18:14.5316398","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes\AppX43hnxtbyyps62jhe9sqpdzxn1790zetc","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:14.5316432","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Metadata","SUCCESS",""
"21:18:14.5316587","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache","SUCCESS",""
"21:18:14.5316700","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes\AppX43hnxtbyyps62jhe9sqpdzxn1790zetc","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:14.5316755","Explorer.EXE","6308","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:14.5316909","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache","SUCCESS","Desired Access: Read"
"21:18:14.5316947","Explorer.EXE","6308","RegOpenKey","HKCU\Software\Classes\AppX43hnxtbyyps62jhe9sqpdzxn1790zetc\Progid","NAME NOT FOUND","Desired Access: Query Value"
"21:18:14.5317112","Explorer.EXE","6308","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"21:18:14.5317123","Explorer.EXE","6308","RegOpenKey","HKCR\AppX43hnxtbyyps62jhe9sqpdzxn1790zetc\Progid","NAME NOT FOUND","Desired Access: Query Value"
"21:18:14.5317224","Explorer.EXE","6308","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"21:18:14.5317324","Explorer.EXE","6308","RegCloseKey","HKCU\Software\Classes\.bmp","SUCCESS",""
"21:18:14.5317342","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Metadata","SUCCESS","Desired Access: Read"
"21:18:14.5317478","Explorer.EXE","6308","RegCloseKey","HKCU\Software\Classes\AppX43hnxtbyyps62jhe9sqpdzxn1790zetc","SUCCESS",""
"21:18:14.5317499","Explorer.EXE","6308","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Metadata\Revision","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"21:18:14.5317684","Explorer.EXE","6308","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Index\PackageFullName","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"21:18:14.5317793","System","4","Thread Create","","SUCCESS","Thread ID: 2444"
"21:18:14.5317806","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Index\PackageFullName\Clipchamp.Clipchamp_4.4.10420.0_x64__yxz26nhyzhsrt","SUCCESS","Desired Access: Read"
"21:18:14.5317998","Explorer.EXE","6308","RegEnumKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Index\PackageFullName\Clipchamp.Clipchamp_4.4.10420.0_x64__yxz26nhyzhsrt","SUCCESS","Index: 0, Name: 11b4"
"21:18:14.5318375","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Index\PackageFullName\Clipchamp.Clipchamp_4.4.10420.0_x64__yxz26nhyzhsrt","SUCCESS",""
"21:18:14.5318540","Explorer.EXE","6308","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"21:18:14.5318691","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data\11b4","SUCCESS","Desired Access: Read"
"21:18:14.5318915","Explorer.EXE","6308","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data\11b4\Flags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 8388684"
"21:18:14.5319150","Explorer.EXE","6308","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data\11b4\InstalledLocation","BUFFER OVERFLOW","Length: 144"
"21:18:14.5319351","Explorer.EXE","6308","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data\11b4\InstalledLocation","SUCCESS","Type: REG_SZ, Length: 160, Data: C:\Program Files\WindowsApps\Clipchamp.Clipchamp_4.4.10420.0_x64__yxz26nhyzhsrt"
"21:18:14.5319359","Procmon64.exe","10216","Thread Create","","SUCCESS","Thread ID: 1896"
"21:18:14.5319585","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data\11b4","SUCCESS",""
"21:18:14.5319831","Procmon64.exe","10216","Thread Create","","SUCCESS","Thread ID: 1976"
"21:18:14.5320088","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Metadata","SUCCESS",""
"21:18:14.5320220","Procmon64.exe","10216","Thread Create","","SUCCESS","Thread ID: 17500"
"21:18:14.5320419","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache","SUCCESS",""
"21:18:14.5320592","Procmon64.exe","10216","Thread Create","","SUCCESS","Thread ID: 25360"
"21:18:14.5320768","Explorer.EXE","6308","RegOpenKey","HKCU","SUCCESS","Desired Access: Read"
"21:18:14.5320965","Procmon64.exe","10216","Thread Create","","SUCCESS","Thread ID: 14128"
"21:18:14.5321122","Explorer.EXE","6308","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:14.5321345","Procmon64.exe","10216","Thread Create","","SUCCESS","Thread ID: 24808"
"21:18:14.5321372","Explorer.EXE","6308","RegOpenKey","HKCU\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppContainer\Storage\Clipchamp.Clipchamp_yxz26nhyzhsrt\ResourcesConfig","REPARSE","Desired Access: Read"
"21:18:14.5322067","Explorer.EXE","6308","RegOpenKey","HKCU\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppContainer\Storage\Clipchamp.Clipchamp_yxz26nhyzhsrt\ResourcesConfig","SUCCESS","Desired Access: Read"
"21:18:14.5322190","Procmon64.exe","10216","Thread Exit","","SUCCESS","Thread ID: 25360, User Time: 0.0000000, Kernel Time: 0.0000000"
"21:18:14.5322302","svchost.exe","3488","LockFile","C:\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd-shm","SUCCESS","Exclusive: False, Offset: 123, Length: 1, Fail Immediately: True"
"21:18:14.5322437","Explorer.EXE","6308","RegCloseKey","HKCU","SUCCESS",""
"21:18:14.5322664","Explorer.EXE","6308","RegQueryValue","HKCU\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppContainer\Storage\clipchamp.clipchamp_yxz26nhyzhsrt\ResourcesConfig\CachedMergedResourcesPriFileName","BUFFER OVERFLOW","Length: 12"
"21:18:14.5322943","Explorer.EXE","6308","RegQueryValue","HKCU\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppContainer\Storage\clipchamp.clipchamp_yxz26nhyzhsrt\ResourcesConfig\CachedMergedResourcesPriFileName","BUFFER OVERFLOW","Length: 144"
"21:18:14.5323155","Explorer.EXE","6308","RegQueryValue","HKCU\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppContainer\Storage\clipchamp.clipchamp_yxz26nhyzhsrt\ResourcesConfig\CachedMergedResourcesPriFileName","SUCCESS","Type: REG_SZ, Length: 138, Data: S-1-5-21-4279415155-462254920-2085994121-1001-MergedResources-16.pri"
"21:18:14.5323420","Explorer.EXE","6308","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:14.5323651","Explorer.EXE","6308","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\Mrt","NAME NOT FOUND","Desired Access: Read"
"21:18:14.5323775","lsass.exe","1352","QueryNameInformationFile","D:\360极速浏览器X下载\ProcessMonitor\Procmon64.exe","SUCCESS","Name: \360极速浏览器X下载\ProcessMonitor\Procmon64.exe"
"21:18:14.5324371","svchost.exe","3488","UnlockFileSingle","C:\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd-shm","SUCCESS","Offset: 123, Length: 1"
"21:18:14.5324406","Procmon64.exe","10216","RegOpenKey","HKLM\HARDWARE\DESCRIPTION\System\CentralProcessor\0","SUCCESS","Desired Access: Read"
"21:18:14.5324637","Explorer.EXE","6308","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:14.5324837","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache","SUCCESS","Desired Access: Read"
"21:18:14.5324874","Procmon64.exe","10216","RegQueryValue","HKLM\HARDWARE\DESCRIPTION\System\CentralProcessor\0\~MHz","SUCCESS","Type: REG_DWORD, Length: 4, Data: 2496"
"21:18:14.5325122","Explorer.EXE","6308","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"21:18:14.5325227","Procmon64.exe","10216","RegCloseKey","HKLM\HARDWARE\DESCRIPTION\System\CentralProcessor\0","SUCCESS",""
"21:18:14.5325317","Explorer.EXE","6308","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"21:18:14.5325486","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Metadata","SUCCESS","Desired Access: Read"
"21:18:14.5325568","Procmon64.exe","10216","RegOpenKey","HKLM\System\CurrentControlSet\Control\TimeZoneInformation","REPARSE","Desired Access: Read, Maximum Allowed"
"21:18:14.5325742","Explorer.EXE","6308","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Metadata\Revision","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"21:18:14.5325792","Procmon64.exe","10216","RegOpenKey","HKLM\System\CurrentControlSet\Control\TimeZoneInformation","SUCCESS","Desired Access: Read, Maximum Allowed"
"21:18:14.5326031","Explorer.EXE","6308","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Index\PackageFullName","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"21:18:14.5326114","Procmon64.exe","10216","RegQueryValue","HKLM\System\CurrentControlSet\Control\TimeZoneInformation\Bias","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4294966816"
"21:18:14.5326204","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Index\PackageFullName\Clipchamp.Clipchamp_4.4.10420.0_x64__yxz26nhyzhsrt","SUCCESS","Desired Access: Read"
"21:18:14.5326390","Procmon64.exe","10216","RegQueryValue","HKLM\System\CurrentControlSet\Control\TimeZoneInformation\StandardName","SUCCESS","Type: REG_SZ, Length: 32, Data: @tzres.dll,-572"
"21:18:14.5326394","lsass.exe","1352","QueryNameInformationFile","D:\360极速浏览器X下载\ProcessMonitor\Procmon64.exe","SUCCESS","Name: \360极速浏览器X下载\ProcessMonitor\Procmon64.exe"
"21:18:14.5326469","Explorer.EXE","6308","RegEnumKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Index\PackageFullName\Clipchamp.Clipchamp_4.4.10420.0_x64__yxz26nhyzhsrt","SUCCESS","Index: 0, Name: 11b4"
"21:18:14.5326643","Procmon64.exe","10216","RegQueryValue","HKLM\System\CurrentControlSet\Control\TimeZoneInformation\StandardBias","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:18:14.5326664","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Index\PackageFullName\Clipchamp.Clipchamp_4.4.10420.0_x64__yxz26nhyzhsrt","SUCCESS",""
"21:18:14.5326816","Explorer.EXE","6308","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"21:18:14.5326850","Procmon64.exe","10216","RegQueryValue","HKLM\System\CurrentControlSet\Control\TimeZoneInformation\StandardStart","SUCCESS","Type: REG_BINARY, Length: 16, Data: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"21:18:14.5326950","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data\11b4","SUCCESS","Desired Access: Read"
"21:18:14.5327050","Procmon64.exe","10216","RegQueryValue","HKLM\System\CurrentControlSet\Control\TimeZoneInformation\DaylightName","SUCCESS","Type: REG_SZ, Length: 32, Data: @tzres.dll,-571"
"21:18:14.5327171","Explorer.EXE","6308","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data\11b4\Flags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 8388684"
"21:18:14.5327250","Procmon64.exe","10216","RegQueryValue","HKLM\System\CurrentControlSet\Control\TimeZoneInformation\DaylightBias","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4294967236"
"21:18:14.5327430","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data\11b4","SUCCESS",""
"21:18:14.5327457","Procmon64.exe","10216","RegQueryValue","HKLM\System\CurrentControlSet\Control\TimeZoneInformation\DaylightStart","SUCCESS","Type: REG_BINARY, Length: 16, Data: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"21:18:14.5327769","Procmon64.exe","10216","RegCloseKey","HKLM\System\CurrentControlSet\Control\TimeZoneInformation","SUCCESS",""
"21:18:14.5327791","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Metadata","SUCCESS",""
"21:18:14.5328451","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache","SUCCESS",""
"21:18:14.5328529","Procmon64.exe","10216","Thread Create","","SUCCESS","Thread ID: 23604"
"21:18:14.5328718","Explorer.EXE","6308","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:14.5328964","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache","SUCCESS","Desired Access: Read"
"21:18:14.5329197","Procmon64.exe","10216","RegOpenKey","HKLM\HARDWARE\DESCRIPTION\System\CentralProcessor\0","SUCCESS","Desired Access: Read"
"21:18:14.5329357","Explorer.EXE","6308","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"21:18:14.5329451","Procmon64.exe","10216","RegQueryValue","HKLM\HARDWARE\DESCRIPTION\System\CentralProcessor\0\~MHz","SUCCESS","Type: REG_DWORD, Length: 4, Data: 2496"
"21:18:14.5329532","Explorer.EXE","6308","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"21:18:14.5329717","Procmon64.exe","10216","RegCloseKey","HKLM\HARDWARE\DESCRIPTION\System\CentralProcessor\0","SUCCESS",""
"21:18:14.5329906","Procmon64.exe","10216","RegOpenKey","HKLM\System\CurrentControlSet\Control\TimeZoneInformation","REPARSE","Desired Access: Read, Maximum Allowed"
"21:18:14.5329925","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Metadata","SUCCESS","Desired Access: Read"
"21:18:14.5330069","Procmon64.exe","10216","RegOpenKey","HKLM\System\CurrentControlSet\Control\TimeZoneInformation","SUCCESS","Desired Access: Read, Maximum Allowed"
"21:18:14.5330322","Explorer.EXE","6308","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Metadata\Revision","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"21:18:14.5330342","Procmon64.exe","10216","RegQueryValue","HKLM\System\CurrentControlSet\Control\TimeZoneInformation\Bias","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4294966816"
"21:18:14.5330508","Procmon64.exe","10216","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:14.5330590","Procmon64.exe","10216","RegQueryValue","HKLM\System\CurrentControlSet\Control\TimeZoneInformation\StandardName","SUCCESS","Type: REG_SZ, Length: 32, Data: @tzres.dll,-572"
"21:18:14.5330671","Explorer.EXE","6308","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Index\PackageFullName","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"21:18:14.5330689","Procmon64.exe","10216","RegOpenKey","HKLM\SYSTEM\Select","SUCCESS","Desired Access: Query Value"
"21:18:14.5330869","Procmon64.exe","10216","RegQueryValue","HKLM\System\CurrentControlSet\Control\TimeZoneInformation\StandardBias","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:18:14.5331065","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Index\PackageFullName\Clipchamp.Clipchamp_4.4.10420.0_x64__yxz26nhyzhsrt","SUCCESS","Desired Access: Read"
"21:18:14.5331111","Procmon64.exe","10216","RegQueryValue","HKLM\System\CurrentControlSet\Control\TimeZoneInformation\StandardStart","SUCCESS","Type: REG_BINARY, Length: 16, Data: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"21:18:14.5331115","Procmon64.exe","10216","RegQueryValue","HKLM\SYSTEM\Select\Current","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"21:18:14.5331321","Procmon64.exe","10216","RegQueryValue","HKLM\System\CurrentControlSet\Control\TimeZoneInformation\DaylightName","SUCCESS","Type: REG_SZ, Length: 32, Data: @tzres.dll,-571"
"21:18:14.5331343","Explorer.EXE","6308","RegEnumKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Index\PackageFullName\Clipchamp.Clipchamp_4.4.10420.0_x64__yxz26nhyzhsrt","SUCCESS","Index: 0, Name: 11b4"
"21:18:14.5331521","Procmon64.exe","10216","RegQueryValue","HKLM\System\CurrentControlSet\Control\TimeZoneInformation\DaylightBias","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4294967236"
"21:18:14.5331584","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Index\PackageFullName\Clipchamp.Clipchamp_4.4.10420.0_x64__yxz26nhyzhsrt","SUCCESS",""
"21:18:14.5331778","Explorer.EXE","6308","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"21:18:14.5331946","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data\11b4","SUCCESS","Desired Access: Read"
"21:18:14.5331995","Procmon64.exe","10216","RegQueryValue","HKLM\System\CurrentControlSet\Control\TimeZoneInformation\DaylightStart","SUCCESS","Type: REG_BINARY, Length: 16, Data: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"21:18:14.5332207","Explorer.EXE","6308","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache\Package\Data\11b4\Flags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 8388684"
"21:18:14.5332386","Procmon64.exe","10216","RegCloseKey","HKLM\System\CurrentControlSet\Control\TimeZoneInformation","SUCCESS",""
